analysis_stream,city,season,available_rows,complete_rows,missing_rows,complete_fraction,primary_missingness_rule,notes
PPM personal PM analysis,Milan,Summer,70,54,16,0.7714285714285715,Participant-season support among raw harmonized archive members.,"Valid support is any non-missing ICARUS PPM PM1, PM2.5, or PM10 value inside the campaign window."
PPM personal PM analysis,Milan,Winter,70,45,25,0.6428571428571429,Participant-season support among raw harmonized archive members.,"Valid support is any non-missing ICARUS PPM PM1, PM2.5, or PM10 value inside the campaign window."
PPM personal PM analysis,Thessaloniki,Summer,70,51,19,0.7285714285714285,Participant-season support among raw harmonized archive members.,"Valid support is any non-missing ICARUS PPM PM1, PM2.5, or PM10 value inside the campaign window."
PPM personal PM analysis,Thessaloniki,Winter,70,57,13,0.8142857142857143,Participant-season support among raw harmonized archive members.,"Valid support is any non-missing ICARUS PPM PM1, PM2.5, or PM10 value inside the campaign window."
PPM personal PM common-support analysis,Milan,Summer,70,54,16,0.7714285714285715,Participant-season support among raw harmonized archive members.,Valid support requires complete ordered PM1 <= PM2.5 <= PM10 triplets before daily aggregation.
PPM personal PM common-support analysis,Milan,Winter,70,45,25,0.6428571428571429,Participant-season support among raw harmonized archive members.,Valid support requires complete ordered PM1 <= PM2.5 <= PM10 triplets before daily aggregation.
PPM personal PM common-support analysis,Thessaloniki,Summer,70,51,19,0.7285714285714285,Participant-season support among raw harmonized archive members.,Valid support requires complete ordered PM1 <= PM2.5 <= PM10 triplets before daily aggregation.
PPM personal PM common-support analysis,Thessaloniki,Winter,70,57,13,0.8142857142857143,Participant-season support among raw harmonized archive members.,Valid support requires complete ordered PM1 <= PM2.5 <= PM10 triplets before daily aggregation.
uHoo residential IAQ analysis,Milan,Summer,70,28,42,0.4,Participant-season support among raw harmonized archive members.,Valid support is any non-missing uHoo residential IAQ value inside the campaign window.
uHoo residential IAQ analysis,Milan,Winter,70,38,32,0.5428571428571428,Participant-season support among raw harmonized archive members.,Valid support is any non-missing uHoo residential IAQ value inside the campaign window.
uHoo residential IAQ analysis,Thessaloniki,Summer,70,21,49,0.3,Participant-season support among raw harmonized archive members.,Valid support is any non-missing uHoo residential IAQ value inside the campaign window.
uHoo residential IAQ analysis,Thessaloniki,Winter,70,18,52,0.2571428571428571,Participant-season support among raw harmonized archive members.,Valid support is any non-missing uHoo residential IAQ value inside the campaign window.
Garmin heart-rate/stress analysis,Milan,Summer,70,55,15,0.7857142857142857,Participant-season support among raw harmonized archive members.,Valid support is non-missing average heart rate or stress after applying the current heart-rate plausibility filter.
Garmin heart-rate/stress analysis,Milan,Winter,70,59,11,0.8428571428571429,Participant-season support among raw harmonized archive members.,Valid support is non-missing average heart rate or stress after applying the current heart-rate plausibility filter.
Garmin heart-rate/stress analysis,Thessaloniki,Summer,70,58,12,0.8285714285714286,Participant-season support among raw harmonized archive members.,Valid support is non-missing average heart rate or stress after applying the current heart-rate plausibility filter.
Garmin heart-rate/stress analysis,Thessaloniki,Winter,70,40,30,0.5714285714285714,Participant-season support among raw harmonized archive members.,Valid support is non-missing average heart rate or stress after applying the current heart-rate plausibility filter.
Garmin sleep data availability,Milan,Summer,70,44,26,0.6285714285714286,Participant-season support among raw harmonized archive members.,Sleep stages are reconstructed from harmonized rows; sleep efficiency is unavailable and is not counted.
Garmin sleep data availability,Milan,Winter,70,50,20,0.7142857142857143,Participant-season support among raw harmonized archive members.,Sleep stages are reconstructed from harmonized rows; sleep efficiency is unavailable and is not counted.
Garmin sleep data availability,Thessaloniki,Summer,70,55,15,0.7857142857142857,Participant-season support among raw harmonized archive members.,Sleep stages are reconstructed from harmonized rows; sleep efficiency is unavailable and is not counted.
Garmin sleep data availability,Thessaloniki,Winter,70,33,37,0.4714285714285714,Participant-season support among raw harmonized archive members.,Sleep stages are reconstructed from harmonized rows; sleep efficiency is unavailable and is not counted.
Garmin sleep + residential IAQ complete-case model input,Milan,Summer,277,39,238,0.1407942238267148,Participant-night complete cases among reconstructed sleep-stage rows.,Complete cases require sleep Total/Light/Deep/REM plus all currently available uHoo residential IAQ predictors.
Garmin sleep + residential IAQ complete-case model input,Milan,Winter,299,128,171,0.4280936454849498,Participant-night complete cases among reconstructed sleep-stage rows.,Complete cases require sleep Total/Light/Deep/REM plus all currently available uHoo residential IAQ predictors.
Garmin sleep + residential IAQ complete-case model input,Thessaloniki,Summer,309,11,298,0.03559870550161812,Participant-night complete cases among reconstructed sleep-stage rows.,Complete cases require sleep Total/Light/Deep/REM plus all currently available uHoo residential IAQ predictors.
Garmin sleep + residential IAQ complete-case model input,Thessaloniki,Winter,205,34,171,0.16585365853658537,Participant-night complete cases among reconstructed sleep-stage rows.,Complete cases require sleep Total/Light/Deep/REM plus all currently available uHoo residential IAQ predictors.
HIA daily PM input,Milan,Summer,70,54,16,0.7714285714285715,Participant-season support among raw harmonized archive members.,Matches the common-support daily personal PPM input used for scenario-based HIA.
HIA daily PM input,Milan,Winter,70,45,25,0.6428571428571429,Participant-season support among raw harmonized archive members.,Matches the common-support daily personal PPM input used for scenario-based HIA.
HIA daily PM input,Thessaloniki,Summer,70,51,19,0.7285714285714285,Participant-season support among raw harmonized archive members.,Matches the common-support daily personal PPM input used for scenario-based HIA.
HIA daily PM input,Thessaloniki,Winter,70,57,13,0.8142857142857143,Participant-season support among raw harmonized archive members.,Matches the common-support daily personal PPM input used for scenario-based HIA.
