candidate_variable,source_domain,source_file_or_archive,available,harmonized,missing_dependency,completeness_notes,safe_for_descriptive_aggregate,not_safe_reason,status,notes
age_or_age_group,demographic,not_provided,False,False,True,provided source not supplied,False,,MISSING_DEPENDENCY,No separate demographic/questionnaire/context source was provided; do not infer this variable from sensor support.
sex_or_gender,demographic,not_provided,False,False,True,provided source not supplied,False,,MISSING_DEPENDENCY,No separate demographic/questionnaire/context source was provided; do not infer this variable from sensor support.
asthma_or_respiratory_susceptibility,questionnaire,not_provided,False,False,True,provided source not supplied,False,,MISSING_DEPENDENCY,No separate demographic/questionnaire/context source was provided; do not infer this variable from sensor support.
older_adult_indicator,demographic,not_provided,False,False,True,provided source not supplied,False,,MISSING_DEPENDENCY,No separate demographic/questionnaire/context source was provided; do not infer this variable from sensor support.
child_or_adolescent_indicator,demographic,not_provided,False,False,True,provided source not supplied,False,,MISSING_DEPENDENCY,No separate demographic/questionnaire/context source was provided; do not infer this variable from sensor support.
education,demographic,not_provided,False,False,True,provided source not supplied,False,,MISSING_DEPENDENCY,No separate demographic/questionnaire/context source was provided; do not infer this variable from sensor support.
employment,demographic,not_provided,False,False,True,provided source not supplied,False,,MISSING_DEPENDENCY,No separate demographic/questionnaire/context source was provided; do not infer this variable from sensor support.
marital_status,demographic,not_provided,False,False,True,provided source not supplied,False,,MISSING_DEPENDENCY,No separate demographic/questionnaire/context source was provided; do not infer this variable from sensor support.
hotspot_vs_lower_exposure_recruitment_context,recruitment_context,not_provided,False,False,True,provided source not supplied,False,,MISSING_DEPENDENCY,No separate demographic/questionnaire/context source was provided; do not infer this variable from sensor support.
housing_or_source_variables,questionnaire,not_provided,False,False,True,provided source not supplied,False,,MISSING_DEPENDENCY,No separate demographic/questionnaire/context source was provided; do not infer this variable from sensor support.
cooking_heating_ventilation,questionnaire,not_provided,False,False,True,provided source not supplied,False,,MISSING_DEPENDENCY,No separate demographic/questionnaire/context source was provided; do not infer this variable from sensor support.
neighborhood_deprivation_or_socioeconomic_index,derived_context,not_provided,False,False,True,provided source not supplied,False,,MISSING_DEPENDENCY,No separate demographic/questionnaire/context source was provided; do not infer this variable from sensor support.
city_season_design_strata,derived_context,controlled_harmonized_archive,True,True,False,provided source not supplied,False,"city/season are study design strata, not equity or vulnerability subgroup variables",NOT_SAFE_FOR_AGGREGATE_OUTPUT,City and season are available but are not a substitute for equity subgroup variables.
wearable_activity_state,sensor_stream,controlled_harmonized_archive,True,True,False,provided source not supplied,False,"timestamp-varying wearable field, not participant equity/context subgroup",NOT_SAFE_FOR_AGGREGATE_OUTPUT,"Activity exists as a sensor-stream field but is not a socioeconomic, housing, susceptibility, or recruitment-context subgroup."
