scenario_key,city,season,pollutant,endpoint,framework,output_scale,counterfactual,crf_mapping,source_pollutant,cases_mean_primary,cases_median_primary,cases_p025_primary,cases_p975_primary,pm_mean_of_samples_primary,exposure_contrast_mean_primary,share_samples_above_counterfactual_primary,cases_mean_upper_tail_capped,cases_median_upper_tail_capped,cases_p025_upper_tail_capped,cases_p975_upper_tail_capped,pm_mean_of_samples_upper_tail_capped,exposure_contrast_mean_upper_tail_capped,share_samples_above_counterfactual_upper_tail_capped,upper_tail_cap_quantile,status,notes
Milan_Summer_PM10_Cardiac hospital admissions,Milan,Summer,PM10,Cardiac hospital admissions,short_term,daily_short_term_scenario,45.0,direct,PM10,0.214810082676896,0.0,0.0,2.710781300158477,26.27064554653664,2.40263173824684,0.1326,0.14079208130739618,0.0,0.0,1.6857015567995384,25.429417929070677,1.561404120780879,0.1326,0.95,PASS,Primary and capped HIA rows merged by scenario_key; PM2.5 and PM10 remain separate.
Milan_Summer_PM10_Cardiovascular,Milan,Summer,PM10,Cardiovascular,long_term,annual_persistent_exposure_scenario,15.0,direct,PM10,821.6830098663692,793.4973109602149,333.84029835491054,1480.9817904895554,26.535882670817013,11.535882670817012,1.0,764.1696965122204,735.8670887006122,304.7789063874106,1391.293016053894,25.691389187431035,10.691389187431035,1.0,0.95,PASS,Primary and capped HIA rows merged by scenario_key; PM2.5 and PM10 remain separate.
Milan_Summer_PM10_Chronic bronchitis,Milan,Summer,PM10,Chronic bronchitis,long_term,annual_persistent_exposure_scenario,15.0,direct,PM10,369.0886575862463,356.32928992454595,125.8086552937704,703.4530365808558,26.5671791454134,11.567179145413398,1.0,343.9997872564828,330.55691716772014,116.29539865848093,654.7663298141293,25.725859039609386,10.725859039609382,1.0,0.95,PASS,Primary and capped HIA rows merged by scenario_key; PM2.5 and PM10 remain separate.
Milan_Summer_PM10_Mortality all causes,Milan,Summer,PM10,Mortality all causes,long_term,annual_persistent_exposure_scenario,15.0,direct,PM10,2593.80546509311,2524.073782911465,1188.4805284762745,4447.274205837548,26.53456805929658,11.53456805929658,1.0,2412.6571331477103,2348.95055752447,1082.8905021040425,4158.625502726969,25.690580798370643,10.690580798370641,1.0,0.95,PASS,Primary and capped HIA rows merged by scenario_key; PM2.5 and PM10 remain separate.
Milan_Summer_PM10_Respiratory hospital admissions,Milan,Summer,PM10,Respiratory hospital admissions,short_term,daily_short_term_scenario,45.0,direct,PM10,0.2275945159222965,0.0,0.0,2.8386680955166548,26.49932952016145,2.356807533384229,0.1322,0.15161445180010272,0.0,0.0,1.8005799583309265,25.706550810243865,1.5640288234666504,0.1322,0.95,PASS,Primary and capped HIA rows merged by scenario_key; PM2.5 and PM10 remain separate.
Milan_Summer_PM2.5_Cardiac hospital admissions,Milan,Summer,PM2.5,Cardiac hospital admissions,short_term,daily_short_term_scenario,15.0,converted_from_pm10,PM10,1.4991117884298455,0.6199255225922768,0.0,7.320668046184319,23.81377075357197,10.393671476894196,0.6646,1.42751331252979,0.6199255225922768,0.0,6.55229867482588,23.301689024584366,9.881589747906595,0.6646,0.95,PASS,Primary and capped HIA rows merged by scenario_key; PM2.5 and PM10 remain separate.
Milan_Summer_PM2.5_Cardiovascular,Milan,Summer,PM2.5,Cardiovascular,long_term,annual_persistent_exposure_scenario,5.0,direct,PM2.5,1948.1049249989264,1928.4415501849849,1371.3793267761955,2624.8592229551705,23.734875491268973,18.734875491268973,1.0,1904.956027794837,1885.3458971332125,1342.2036921151403,2566.7514355567787,23.269120565150164,18.269120565150164,1.0,0.95,PASS,Primary and capped HIA rows merged by scenario_key; PM2.5 and PM10 remain separate.
Milan_Summer_PM2.5_Chronic bronchitis,Milan,Summer,PM2.5,Chronic bronchitis,long_term,annual_persistent_exposure_scenario,5.0,converted_from_pm10,PM10,850.3358829853706,837.758913074083,346.82413530503806,1431.3326241741067,23.79405636565429,18.794056365654296,1.0,832.6898624823616,820.5346634909595,338.4400183259264,1399.515107492884,23.32466643046988,18.32466643046988,1.0,0.95,PASS,Primary and capped HIA rows merged by scenario_key; PM2.5 and PM10 remain separate.
Milan_Summer_PM2.5_Mortality all causes,Milan,Summer,PM2.5,Mortality all causes,long_term,annual_persistent_exposure_scenario,5.0,direct,PM2.5,3222.3383188080616,3180.470569268615,1946.279794401516,4770.128543525145,23.701656465244817,18.701656465244817,1.0,3146.233698140476,3105.3810623780632,1901.6332642325065,4640.690229305385,23.23337274991179,18.23337274991179,1.0,0.95,PASS,Primary and capped HIA rows merged by scenario_key; PM2.5 and PM10 remain separate.
Milan_Summer_PM2.5_Respiratory hospital admissions,Milan,Summer,PM2.5,Respiratory hospital admissions,short_term,daily_short_term_scenario,15.0,converted_from_pm10,PM10,1.5603027869880164,0.6628557833408945,0.0,7.038814254209262,23.6852453908802,10.320249194910769,0.6552,1.4960391856861344,0.6628557833408945,0.0,6.20279950031996,23.240371719056302,9.875375523086877,0.6552,0.95,PASS,Primary and capped HIA rows merged by scenario_key; PM2.5 and PM10 remain separate.
