endpoint,framework,target_pollutant,source_pollutant,rr_per10,rr_ci_low,rr_ci_high,crf_mapping,reference_note
Mortality all causes,long_term,PM2.5,PM2.5,1.062,1.04,1.083,direct,WHO/HRAPIE; Orellano et al.
Mortality all causes,long_term,PM10,PM10,1.081,1.052,1.11,direct,Orellano et al.
Cardiovascular,long_term,PM2.5,PM2.5,1.127,1.102,1.152,direct,Orellano et al.
Cardiovascular,long_term,PM10,PM10,1.08,1.042,1.12,direct,Orellano et al.
Chronic bronchitis,long_term,PM2.5,PM10,1.117,1.04,1.189,converted_from_pm10,WHO/HRAPIE PM10 CRF converted to PM2.5-equivalent sensitivity row
Chronic bronchitis,long_term,PM10,PM10,1.117,1.04,1.189,direct,WHO/HRAPIE
Cardiac hospital admissions,short_term,PM2.5,PM10,1.006,1.003,1.009,converted_from_pm10,Hurley et al. PM10 CRF converted to PM2.5-equivalent sensitivity row
Cardiac hospital admissions,short_term,PM10,PM10,1.006,1.003,1.009,direct,Hurley et al.
Respiratory hospital admissions,short_term,PM2.5,PM10,1.009,1.007,1.01,converted_from_pm10,Hurley et al. PM10 CRF converted to PM2.5-equivalent sensitivity row
Respiratory hospital admissions,short_term,PM10,PM10,1.009,1.007,1.01,direct,Hurley et al.
