scenario_key,city,season,pollutant,endpoint,framework,output_scale,source_device,exposure_metric,counterfactual,counterfactual_basis,crf_mapping,source_pollutant,rr_per10,rr_ci_low,rr_ci_high,reference_note,n_samples,baseline_rate,baseline_rate_scale,population,pm_mean_of_samples,exposure_contrast_mean,share_samples_above_counterfactual,cases_mean,cases_median,cases_p025,cases_p975,pm25_pm10_ratio_mean_if_applicable,pm25_pm10_ratio_sd_if_applicable,notes
Milan_Summer_PM10_Cardiac hospital admissions,Milan,Summer,PM10,Cardiac hospital admissions,short_term,daily_short_term_scenario,ICARUS PPM personal portable particulate monitor,Daily personal PM from common-support ICARUS PPM PM1/PM2.5/PM10 timestamp triplets,45.0,WHO_2021_AQG_annual_or_24h_by_framework,direct,PM10,1.006,1.003,1.009,Hurley et al.,10000,4.290684931506849e-05,daily_rate_per_person,3606653,26.270645546536638,2.4026317382468396,0.1326,0.214810082676896,0.0,0.0,2.7107813001584775,,,Ambient-CRF-based scenario output using daily personal ICARUS PPM PM exposure distributions; PM2.5 and PM10 are not summed.
Milan_Summer_PM10_Cardiovascular,Milan,Summer,PM10,Cardiovascular,long_term,annual_persistent_exposure_scenario,ICARUS PPM personal portable particulate monitor,Daily personal PM from common-support ICARUS PPM PM1/PM2.5/PM10 timestamp triplets,15.0,WHO_2021_AQG_annual_or_24h_by_framework,direct,PM10,1.08,1.042,1.12,Orellano et al.,10000,0.002703,annual_rate_per_person,3606653,26.535882670817013,11.535882670817012,1.0,821.6830098663692,793.4973109602149,333.84029835491054,1480.9817904895554,,,Ambient-CRF-based scenario output using daily personal ICARUS PPM PM exposure distributions; PM2.5 and PM10 are not summed.
Milan_Summer_PM10_Chronic bronchitis,Milan,Summer,PM10,Chronic bronchitis,long_term,annual_persistent_exposure_scenario,ICARUS PPM personal portable particulate monitor,Daily personal PM from common-support ICARUS PPM PM1/PM2.5/PM10 timestamp triplets,15.0,WHO_2021_AQG_annual_or_24h_by_framework,direct,PM10,1.117,1.04,1.189,WHO/HRAPIE,10000,0.00086,annual_rate_per_person,3606653,26.567179145413398,11.567179145413398,1.0,369.08865758624626,356.32928992454595,125.8086552937704,703.4530365808558,,,Ambient-CRF-based scenario output using daily personal ICARUS PPM PM exposure distributions; PM2.5 and PM10 are not summed.
Milan_Summer_PM10_Mortality all causes,Milan,Summer,PM10,Mortality all causes,long_term,annual_persistent_exposure_scenario,ICARUS PPM personal portable particulate monitor,Daily personal PM from common-support ICARUS PPM PM1/PM2.5/PM10 timestamp triplets,15.0,WHO_2021_AQG_annual_or_24h_by_framework,direct,PM10,1.081,1.052,1.11,Orellano et al.,10000,0.0084,annual_rate_per_person,3606653,26.53456805929658,11.53456805929658,1.0,2593.80546509311,2524.073782911465,1188.4805284762745,4447.274205837548,,,Ambient-CRF-based scenario output using daily personal ICARUS PPM PM exposure distributions; PM2.5 and PM10 are not summed.
Milan_Summer_PM10_Respiratory hospital admissions,Milan,Summer,PM10,Respiratory hospital admissions,short_term,daily_short_term_scenario,ICARUS PPM personal portable particulate monitor,Daily personal PM from common-support ICARUS PPM PM1/PM2.5/PM10 timestamp triplets,45.0,WHO_2021_AQG_annual_or_24h_by_framework,direct,PM10,1.009,1.007,1.01,Hurley et al.,10000,3.0276712328767118e-05,daily_rate_per_person,3606653,26.499329520161446,2.3568075333842295,0.1322,0.2275945159222965,0.0,0.0,2.8386680955166548,,,Ambient-CRF-based scenario output using daily personal ICARUS PPM PM exposure distributions; PM2.5 and PM10 are not summed.
Milan_Summer_PM2.5_Cardiac hospital admissions,Milan,Summer,PM2.5,Cardiac hospital admissions,short_term,daily_short_term_scenario,ICARUS PPM personal portable particulate monitor,Daily personal PM from common-support ICARUS PPM PM1/PM2.5/PM10 timestamp triplets,15.0,WHO_2021_AQG_annual_or_24h_by_framework,converted_from_pm10,PM10,1.006,1.003,1.009,Hurley et al. PM10 CRF converted to PM2.5-equivalent sensitivity row,10000,4.290684931506849e-05,daily_rate_per_person,3606653,23.813770753571966,10.393671476894196,0.6646,1.4991117884298455,0.6199255225922768,0.0,7.320668046184319,0.65,0.1,Ambient-CRF-based scenario output using daily personal ICARUS PPM PM exposure distributions; PM2.5 and PM10 are not summed.
Milan_Summer_PM2.5_Cardiovascular,Milan,Summer,PM2.5,Cardiovascular,long_term,annual_persistent_exposure_scenario,ICARUS PPM personal portable particulate monitor,Daily personal PM from common-support ICARUS PPM PM1/PM2.5/PM10 timestamp triplets,5.0,WHO_2021_AQG_annual_or_24h_by_framework,direct,PM2.5,1.127,1.102,1.152,Orellano et al.,10000,0.002703,annual_rate_per_person,3606653,23.734875491268973,18.734875491268973,1.0,1948.1049249989264,1928.4415501849849,1371.3793267761957,2624.8592229551705,,,Ambient-CRF-based scenario output using daily personal ICARUS PPM PM exposure distributions; PM2.5 and PM10 are not summed.
Milan_Summer_PM2.5_Chronic bronchitis,Milan,Summer,PM2.5,Chronic bronchitis,long_term,annual_persistent_exposure_scenario,ICARUS PPM personal portable particulate monitor,Daily personal PM from common-support ICARUS PPM PM1/PM2.5/PM10 timestamp triplets,5.0,WHO_2021_AQG_annual_or_24h_by_framework,converted_from_pm10,PM10,1.117,1.04,1.189,WHO/HRAPIE PM10 CRF converted to PM2.5-equivalent sensitivity row,10000,0.00086,annual_rate_per_person,3606653,23.794056365654292,18.794056365654296,1.0,850.3358829853706,837.758913074083,346.82413530503806,1431.3326241741067,0.65,0.1,Ambient-CRF-based scenario output using daily personal ICARUS PPM PM exposure distributions; PM2.5 and PM10 are not summed.
Milan_Summer_PM2.5_Mortality all causes,Milan,Summer,PM2.5,Mortality all causes,long_term,annual_persistent_exposure_scenario,ICARUS PPM personal portable particulate monitor,Daily personal PM from common-support ICARUS PPM PM1/PM2.5/PM10 timestamp triplets,5.0,WHO_2021_AQG_annual_or_24h_by_framework,direct,PM2.5,1.062,1.04,1.083,WHO/HRAPIE; Orellano et al.,10000,0.0084,annual_rate_per_person,3606653,23.701656465244817,18.701656465244817,1.0,3222.3383188080616,3180.470569268615,1946.2797944015156,4770.128543525145,,,Ambient-CRF-based scenario output using daily personal ICARUS PPM PM exposure distributions; PM2.5 and PM10 are not summed.
Milan_Summer_PM2.5_Respiratory hospital admissions,Milan,Summer,PM2.5,Respiratory hospital admissions,short_term,daily_short_term_scenario,ICARUS PPM personal portable particulate monitor,Daily personal PM from common-support ICARUS PPM PM1/PM2.5/PM10 timestamp triplets,15.0,WHO_2021_AQG_annual_or_24h_by_framework,converted_from_pm10,PM10,1.009,1.007,1.01,Hurley et al. PM10 CRF converted to PM2.5-equivalent sensitivity row,10000,3.0276712328767118e-05,daily_rate_per_person,3606653,23.685245390880198,10.320249194910767,0.6552,1.5603027869880164,0.6628557833408945,0.0,7.038814254209262,0.65,0.1,Ambient-CRF-based scenario output using daily personal ICARUS PPM PM exposure distributions; PM2.5 and PM10 are not summed.
Milan_Winter_PM10_Cardiac hospital admissions,Milan,Winter,PM10,Cardiac hospital admissions,short_term,daily_short_term_scenario,ICARUS PPM personal portable particulate monitor,Daily personal PM from common-support ICARUS PPM PM1/PM2.5/PM10 timestamp triplets,45.0,WHO_2021_AQG_annual_or_24h_by_framework,direct,PM10,1.006,1.003,1.009,Hurley et al.,10000,4.290684931506849e-05,daily_rate_per_person,3606653,44.08545167056202,8.541987154570185,0.4331,0.7769089227967392,0.0,0.0,5.471783228160156,,,Ambient-CRF-based scenario output using daily personal ICARUS PPM PM exposure distributions; PM2.5 and PM10 are not summed.
Milan_Winter_PM10_Cardiovascular,Milan,Winter,PM10,Cardiovascular,long_term,annual_persistent_exposure_scenario,ICARUS PPM personal portable particulate monitor,Daily personal PM from common-support ICARUS PPM PM1/PM2.5/PM10 timestamp triplets,15.0,WHO_2021_AQG_annual_or_24h_by_framework,direct,PM10,1.08,1.042,1.12,Orellano et al.,10000,0.002703,annual_rate_per_person,3606653,43.60039649637075,28.60039649637075,1.0,1904.5115296016195,1882.4483187055994,971.5954441659809,2994.333450950281,,,Ambient-CRF-based scenario output using daily personal ICARUS PPM PM exposure distributions; PM2.5 and PM10 are not summed.
Milan_Winter_PM10_Chronic bronchitis,Milan,Winter,PM10,Chronic bronchitis,long_term,annual_persistent_exposure_scenario,ICARUS PPM personal portable particulate monitor,Daily personal PM from common-support ICARUS PPM PM1/PM2.5/PM10 timestamp triplets,15.0,WHO_2021_AQG_annual_or_24h_by_framework,direct,PM10,1.117,1.04,1.189,WHO/HRAPIE,10000,0.00086,annual_rate_per_person,3606653,43.608287074677456,28.60828707467745,1.0,827.3692303788665,822.30051276192,346.3287958017279,1350.0486698869458,,,Ambient-CRF-based scenario output using daily personal ICARUS PPM PM exposure distributions; PM2.5 and PM10 are not summed.
