figure,outcome,pollutant,lag_min,source_device,sensor_outcome,beta,se,ci_low,ci_high,p_value,p_value_display,r_squared,n_observations,n_participants,effect_per_10ug,practical_effect_flag,status,notes
Figure 7,Garmin-derived average heart rate,PM1,1,ICARUS PPM personal monitor,Garmin wearable field indicator,-0.007499052805502852,0.0005636570480345729,-0.008603800827419284,-0.00639430478358642,2.1923917578469498e-40,p < 0.001,6.725965649239827e-05,2631476,126,-0.07499052805502852,negligible,PASS,OLS panel is descriptive/exploratory; Phase 6 mixed models are the primary clustered model.
Figure 7,Garmin-derived average heart rate,PM1,5,ICARUS PPM personal monitor,Garmin wearable field indicator,-0.008194252657992472,0.000567848360992846,-0.00930721552125212,-0.007081289794732823,3.3479789382231586e-47,p < 0.001,8.14629113848778e-05,2555989,126,-0.08194252657992472,negligible,PASS,OLS panel is descriptive/exploratory; Phase 6 mixed models are the primary clustered model.
Figure 7,Garmin-derived average heart rate,PM1,10,ICARUS PPM personal monitor,Garmin wearable field indicator,-0.008451820516254085,0.0005698627977530477,-0.009568731607918282,-0.007334909424589887,9.234294120759307e-50,p < 0.001,8.654645942289438e-05,2541402,126,-0.08451820516254085,negligible,PASS,OLS panel is descriptive/exploratory; Phase 6 mixed models are the primary clustered model.
Figure 7,Garmin-derived average heart rate,PM1,15,ICARUS PPM personal monitor,Garmin wearable field indicator,-0.00869663887843926,0.0005719129762989557,-0.009817568251176294,-0.007575709505702227,3.2326612936079712e-52,p < 0.001,9.149600190608834e-05,2526978,126,-0.0869663887843926,negligible,PASS,OLS panel is descriptive/exploratory; Phase 6 mixed models are the primary clustered model.
Figure 7,Garmin-derived average heart rate,PM1,30,ICARUS PPM personal monitor,Garmin wearable field indicator,-0.00908436312026426,0.0005783198869956644,-0.010217849822625608,-0.007950876417902913,1.3372735037484832e-55,p < 0.001,9.932466599420591e-05,2484007,126,-0.0908436312026426,negligible,PASS,OLS panel is descriptive/exploratory; Phase 6 mixed models are the primary clustered model.
Figure 7,Garmin-derived average heart rate,PM1,45,ICARUS PPM personal monitor,Garmin wearable field indicator,-0.00967422456906276,0.0005847864934379789,-0.010820385603127688,-0.008528063534997833,1.807114655008505e-61,p < 0.001,0.00011209603237819597,2441176,126,-0.09674224569062762,negligible,PASS,OLS panel is descriptive/exploratory; Phase 6 mixed models are the primary clustered model.
Figure 7,Garmin-derived average heart rate,PM1,60,ICARUS PPM personal monitor,Garmin wearable field indicator,-0.009430741339091905,0.0005912151579714566,-0.01058950234058351,-0.0082719803376003,2.802401956589565e-57,p < 0.001,0.00010607599319874939,2398489,126,-0.09430741339091905,negligible,PASS,OLS panel is descriptive/exploratory; Phase 6 mixed models are the primary clustered model.
Figure 7,Garmin-derived average heart rate,PM1,120,ICARUS PPM personal monitor,Garmin wearable field indicator,-0.011797756833949964,0.0006191868802792176,-0.013011341477647657,-0.010584172190252272,6.221937402825988e-81,p < 0.001,0.00016276219712065083,2230137,126,-0.11797756833949964,negligible,PASS,OLS panel is descriptive/exploratory; Phase 6 mixed models are the primary clustered model.
Figure 7,Garmin-derived average heart rate,PM2.5,1,ICARUS PPM personal monitor,Garmin wearable field indicator,-0.0053908966389291536,0.00045440224780466434,-0.006281509088763707,-0.0045002841890946004,1.8304498760014767e-32,p < 0.001,5.3483369022698415e-05,2631476,126,-0.05390896638929153,negligible,PASS,OLS panel is descriptive/exploratory; Phase 6 mixed models are the primary clustered model.
Figure 7,Garmin-derived average heart rate,PM2.5,5,ICARUS PPM personal monitor,Garmin wearable field indicator,-0.005538727711098747,0.0004578061246441387,-0.0064360116522038675,-0.0046414437699936265,1.0790112551367972e-33,p < 0.001,5.7262898019654774e-05,2555989,126,-0.05538727711098747,negligible,PASS,OLS panel is descriptive/exploratory; Phase 6 mixed models are the primary clustered model.
Figure 7,Garmin-derived average heart rate,PM2.5,10,ICARUS PPM personal monitor,Garmin wearable field indicator,-0.005674050268842948,0.0004596497778754607,-0.006574947708041226,-0.00477315282964467,5.241450609979631e-35,p < 0.001,5.995607359726138e-05,2541402,126,-0.05674050268842948,negligible,PASS,OLS panel is descriptive/exploratory; Phase 6 mixed models are the primary clustered model.
Figure 7,Garmin-derived average heart rate,PM2.5,15,ICARUS PPM personal monitor,Garmin wearable field indicator,-0.0056474428546724655,0.00046148526497149774,-0.0065519377866452636,-0.0047429479226996675,1.963287974210339e-34,p < 0.001,5.925993331299363e-05,2526978,126,-0.05647442854672466,negligible,PASS,OLS panel is descriptive/exploratory; Phase 6 mixed models are the primary clustered model.
Figure 7,Garmin-derived average heart rate,PM2.5,30,ICARUS PPM personal monitor,Garmin wearable field indicator,-0.005675748849118012,0.00046713003077623953,-0.006591307331654657,-0.004760190366581366,5.731443407144294e-34,p < 0.001,5.9428187874850775e-05,2484007,126,-0.05675748849118012,negligible,PASS,OLS panel is descriptive/exploratory; Phase 6 mixed models are the primary clustered model.
Figure 7,Garmin-derived average heart rate,PM2.5,45,ICARUS PPM personal monitor,Garmin wearable field indicator,-0.0056176038020811945,0.00047295909784900495,-0.006544587059635728,-0.004690620544526661,1.551264457518963e-32,p < 0.001,5.778714134190912e-05,2441176,126,-0.05617603802081195,negligible,PASS,OLS panel is descriptive/exploratory; Phase 6 mixed models are the primary clustered model.
