outcome,pollutant,lag_min,model_type,beta_per_1ug,se_per_1ug,ci_low_per_1ug,ci_high_per_1ug,p_value,beta_per_10ug,ci_low_per_10ug,ci_high_per_10ug,n_rows,n_participants,random_effect_structure,fixed_effects,aic,bic,log_likelihood,converged,warnings,status,notes
Garmin-derived average heart rate,PM1,1,adjusted,0.008794137077886663,0.008706511170504574,-0.0082706248163023,0.025858898972075627,0.3124644315625331,0.08794137077886663,-0.08270624816302301,0.2585889897207563,10000,125,participant-specific random intercept,city; season; hour; weekend; activity,80318.85962738526,80549.5905192885,-40127.42981369263,True,Random effects covariance is singular,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived average heart rate,PM1,5,adjusted,0.007864420248649105,0.008704004274232093,-0.009195428128845797,0.024924268626144008,0.36623911129044817,0.07864420248649105,-0.09195428128845798,0.24924268626144008,10000,125,participant-specific random intercept,city; season; hour; weekend; activity,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived average heart rate,PM1,10,adjusted,0.010807593670858089,0.00858547755860237,-0.006019942344002556,0.027635129685718733,0.20809439482233671,0.10807593670858089,-0.06019942344002556,0.27635129685718735,10000,125,participant-specific random intercept,city; season; hour; weekend; activity,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived average heart rate,PM1,15,adjusted,0.010457532522254573,0.008561678546839115,-0.006323357429550093,0.02723842247405924,0.22192142018207262,0.10457532522254573,-0.06323357429550093,0.27238422474059243,10000,125,participant-specific random intercept,city; season; hour; weekend; activity,80321.19748134264,80551.92837324587,-40128.59874067132,True,Random effects covariance is singular,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived average heart rate,PM1,30,adjusted,0.01037578861744242,0.008711927521768005,-0.006699589325222868,0.02745116656010771,0.23365885987757562,0.1037578861744242,-0.06699589325222868,0.2745116656010771,10000,125,participant-specific random intercept,city; season; hour; weekend; activity,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived average heart rate,PM1,45,adjusted,0.016545451635580723,0.008806365278458059,-0.000715024310197071,0.033805927581358516,0.060270991957995276,0.1654545163558072,-0.00715024310197071,0.3380592758135852,10000,125,participant-specific random intercept,city; season; hour; weekend; activity,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived average heart rate,PM1,60,adjusted,0.007520996784761103,0.008728383728190866,-0.009586635322492997,0.0246286288920152,0.3888684842711202,0.07520996784761103,-0.09586635322492998,0.246286288920152,10000,125,participant-specific random intercept,city; season; hour; weekend; activity,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived average heart rate,PM1,120,adjusted,-0.009961440182438941,0.008637205826296335,-0.026890363601979758,0.006967483237101876,0.24878011107591058,-0.09961440182438941,-0.2689036360197976,0.06967483237101876,10000,125,participant-specific random intercept,city; season; hour; weekend; activity,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived average heart rate,PM2.5,1,adjusted,0.007305320904200727,0.006760730514209694,-0.005945710903650274,0.02055635271205173,0.27989644229785227,0.07305320904200727,-0.05945710903650274,0.2055635271205173,10000,125,participant-specific random intercept,city; season; hour; weekend; activity,80318.71228340814,80549.44317531137,-40127.35614170407,True,Random effects covariance is singular,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived average heart rate,PM2.5,5,adjusted,0.008334502747593115,0.006702306824495935,-0.0048020186284189175,0.021471024123605145,0.2136735192984106,0.08334502747593114,-0.04802018628418918,0.21471024123605145,10000,125,participant-specific random intercept,city; season; hour; weekend; activity,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived average heart rate,PM2.5,10,adjusted,0.0059126264818445745,0.00665395459571384,-0.0071291245257545524,0.018954377489443702,0.3742243587385605,0.059126264818445746,-0.07129124525754553,0.18954377489443702,10000,125,participant-specific random intercept,city; season; hour; weekend; activity,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived average heart rate,PM2.5,15,adjusted,0.0103998408137509,0.006716711626776631,-0.0027649139747312965,0.023564595602233097,0.12153732273713833,0.103998408137509,-0.027649139747312965,0.23564595602233096,10000,125,participant-specific random intercept,city; season; hour; weekend; activity,80320.29217078946,80551.0230626927,-40128.14608539473,True,Random effects covariance is singular,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived average heart rate,PM2.5,30,adjusted,0.00740218558283736,0.006733378591197032,-0.005795236455908823,0.020599607621583544,0.2716254143759811,0.0740218558283736,-0.05795236455908823,0.20599607621583543,10000,125,participant-specific random intercept,city; season; hour; weekend; activity,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived average heart rate,PM2.5,45,adjusted,0.008594145865613105,0.006669560846584254,-0.004478193393692032,0.02166648512491824,0.19755023436322194,0.08594145865613105,-0.04478193393692032,0.21666485124918242,10000,125,participant-specific random intercept,city; season; hour; weekend; activity,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived average heart rate,PM2.5,60,adjusted,0.007380492142793127,0.006781732460636886,-0.005911703480055168,0.02067268776564142,0.2764670697055275,0.07380492142793127,-0.05911703480055168,0.2067268776564142,10000,125,participant-specific random intercept,city; season; hour; weekend; activity,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived average heart rate,PM2.5,120,adjusted,0.00021728702072360502,0.006756558713172311,-0.013025568057094124,0.013460142098541334,0.974344916240703,0.0021728702072360503,-0.13025568057094125,0.13460142098541333,10000,125,participant-specific random intercept,city; season; hour; weekend; activity,80353.80921630088,80584.54010820412,-40144.90460815044,True,Random effects covariance is singular,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
