outcome,pollutant,lag_min,model_type,beta_per_1ug,se_per_1ug,ci_low_per_1ug,ci_high_per_1ug,p_value,beta_per_10ug,ci_low_per_10ug,ci_high_per_10ug,n_rows,n_participants,random_effect_structure,fixed_effects,aic,bic,log_likelihood,converged,warnings,status,notes
Garmin-derived average heart rate,PM1,1,unadjusted,0.009325765998325,0.010088218291260876,-0.010447141852546317,0.029098673849196316,0.355266899181482,0.09325765998325,-0.10447141852546317,0.29098673849196316,10000,125,participant-specific random intercept,lagged PM only,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived average heart rate,PM1,5,unadjusted,0.00987755535518768,0.010058352349268485,-0.009836815249378553,0.029591925959753913,0.3260874395375034,0.0987755535518768,-0.09836815249378553,0.2959192595975391,10000,125,participant-specific random intercept,lagged PM only,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived average heart rate,PM1,10,unadjusted,0.012721969266090044,0.00978881038010672,-0.006464099078919127,0.03190803761109921,0.19372299123176628,0.12721969266090044,-0.06464099078919128,0.31908037611099216,10000,125,participant-specific random intercept,lagged PM only,81648.20802779823,81677.04938928614,-40820.104013899116,True,Random effects covariance is singular,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived average heart rate,PM1,15,unadjusted,0.012796285065009957,0.009779587220203074,-0.006371705886588069,0.03196427601660798,0.19071433952960348,0.12796285065009957,-0.0637170588658807,0.3196427601660798,10000,125,participant-specific random intercept,lagged PM only,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived average heart rate,PM1,30,unadjusted,0.009047282712706358,0.009811529978974892,-0.010183316046084431,0.028277881471497145,0.35647264706182846,0.09047282712706357,-0.10183316046084431,0.28277881471497146,10000,125,participant-specific random intercept,lagged PM only,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived average heart rate,PM1,45,unadjusted,0.014531774445561148,0.009852162529789281,-0.004778464112825842,0.03384201300394814,0.14021705385974906,0.14531774445561146,-0.04778464112825842,0.33842013003948135,10000,125,participant-specific random intercept,lagged PM only,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived average heart rate,PM1,60,unadjusted,0.0069870082001707995,0.009797086657892164,-0.012215281649297843,0.02618929804963944,0.47573931050723384,0.069870082001708,-0.12215281649297843,0.2618929804963944,10000,125,participant-specific random intercept,lagged PM only,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived average heart rate,PM1,120,unadjusted,-0.008010394477578146,0.009792394412574141,-0.02720348752622346,0.011182698571067169,0.41334460100541404,-0.08010394477578146,-0.2720348752622346,0.11182698571067169,10000,125,participant-specific random intercept,lagged PM only,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived average heart rate,PM2.5,1,unadjusted,0.019851123226629068,0.007563745653605219,0.00502618174556284,0.0346760647076953,0.008677384144462315,0.1985112322662907,0.050261817455628396,0.346760647076953,10000,125,participant-specific random intercept,lagged PM only,81642.45595128842,81671.29731277633,-40817.22797564421,True,Random effects covariance is singular,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived average heart rate,PM2.5,5,unadjusted,0.02191521569370956,0.00750937934002385,0.007196832187262815,0.036633599200156304,0.0035185629368895796,0.2191521569370956,0.07196832187262815,0.366335992001563,10000,125,participant-specific random intercept,lagged PM only,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
