section_label,Lag (min),Model,β per 1 µg/m³,SE per 1 µg/m³,95% CI per 1 µg/m³,p value,β per 10 µg/m³,95% CI per 10 µg/m³,n rows,n participants,Convergence,target_match_status,notes
Garmin-derived average heart rate - PM1,1,adjusted,0.008794,0.008707,"-0.008271, 0.02586",0.312,0.08794,"-0.08271, 0.2586",10000,125,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived average heart rate - PM1,1,unadjusted,0.009326,0.01009,"-0.01045, 0.0291",0.355,0.09326,"-0.1045, 0.291",10000,125,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived average heart rate - PM1,5,adjusted,0.007864,0.008704,"-0.009195, 0.02492",0.366,0.07864,"-0.09195, 0.2492",10000,125,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived average heart rate - PM1,5,unadjusted,0.009878,0.01006,"-0.009837, 0.02959",0.326,0.09878,"-0.09837, 0.2959",10000,125,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived average heart rate - PM1,10,adjusted,0.01081,0.008585,"-0.00602, 0.02764",0.208,0.1081,"-0.0602, 0.2764",10000,125,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived average heart rate - PM1,10,unadjusted,0.01272,0.009789,"-0.006464, 0.03191",0.194,0.1272,"-0.06464, 0.3191",10000,125,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived average heart rate - PM1,15,adjusted,0.01046,0.008562,"-0.006323, 0.02724",0.222,0.1046,"-0.06323, 0.2724",10000,125,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived average heart rate - PM1,15,unadjusted,0.0128,0.00978,"-0.006372, 0.03196",0.191,0.128,"-0.06372, 0.3196",10000,125,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived average heart rate - PM1,30,adjusted,0.01038,0.008712,"-0.0067, 0.02745",0.234,0.1038,"-0.067, 0.2745",10000,125,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived average heart rate - PM1,30,unadjusted,0.009047,0.009812,"-0.01018, 0.02828",0.356,0.09047,"-0.1018, 0.2828",10000,125,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived average heart rate - PM1,45,adjusted,0.01655,0.008806,"-0.000715, 0.03381",0.060,0.1655,"-0.00715, 0.3381",10000,125,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived average heart rate - PM1,45,unadjusted,0.01453,0.009852,"-0.004778, 0.03384",0.140,0.1453,"-0.04778, 0.3384",10000,125,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived average heart rate - PM1,60,adjusted,0.007521,0.008728,"-0.009587, 0.02463",0.389,0.07521,"-0.09587, 0.2463",10000,125,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived average heart rate - PM1,60,unadjusted,0.006987,0.009797,"-0.01222, 0.02619",0.476,0.06987,"-0.1222, 0.2619",10000,125,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived average heart rate - PM1,120,adjusted,-0.009961,0.008637,"-0.02689, 0.006967",0.249,-0.09961,"-0.2689, 0.06967",10000,125,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived average heart rate - PM1,120,unadjusted,-0.00801,0.009792,"-0.0272, 0.01118",0.413,-0.0801,"-0.272, 0.1118",10000,125,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived average heart rate - PM10,1,adjusted,0.009559,0.006518,"-0.003215, 0.02233",0.142,0.09559,"-0.03215, 0.2233",10000,125,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived average heart rate - PM10,1,unadjusted,0.0211,0.007247,"0.006901, 0.03531",0.004,0.211,"0.06901, 0.3531",10000,125,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived average heart rate - PM10,5,adjusted,0.01216,0.006487,"-0.0005497, 0.02488",0.061,0.1216,"-0.005497, 0.2488",10000,125,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived average heart rate - PM10,5,unadjusted,0.02196,0.007177,"0.007892, 0.03602",0.002,0.2196,"0.07892, 0.3602",10000,125,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived average heart rate - PM10,10,adjusted,0.01264,0.006447,"3.576e-06, 0.02528",0.050,0.1264,"3.576e-05, 0.2528",10000,125,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived average heart rate - PM10,10,unadjusted,0.02396,0.007149,"0.009952, 0.03798",<0.001,0.2396,"0.09952, 0.3798",10000,125,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived average heart rate - PM10,15,adjusted,0.0124,0.006478,"-0.000297, 0.0251",0.056,0.124,"-0.00297, 0.251",10000,125,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived average heart rate - PM10,15,unadjusted,0.02427,0.007177,"0.0102, 0.03834",<0.001,0.2427,"0.102, 0.3834",10000,125,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived average heart rate - PM10,30,adjusted,0.00655,0.006485,"-0.00616, 0.01926",0.312,0.0655,"-0.0616, 0.1926",10000,125,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived average heart rate - PM10,30,unadjusted,0.01563,0.00723,"0.001457, 0.0298",0.031,0.1563,"0.01457, 0.298",10000,125,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived average heart rate - PM10,45,adjusted,0.008855,0.006421,"-0.00373, 0.02144",0.168,0.08855,"-0.0373, 0.2144",10000,125,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived average heart rate - PM10,45,unadjusted,0.01643,0.007161,"0.002392, 0.03046",0.022,0.1643,"0.02392, 0.3046",10000,125,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived average heart rate - PM10,60,adjusted,0.008782,0.006504,"-0.003966, 0.02153",0.177,0.08782,"-0.03966, 0.2153",10000,125,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived average heart rate - PM10,60,unadjusted,0.02035,0.007205,"0.00623, 0.03448",0.005,0.2035,"0.0623, 0.3448",10000,125,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived average heart rate - PM10,120,adjusted,-0.0001683,0.006536,"-0.01298, 0.01264",0.979,-0.001683,"-0.1298, 0.1264",10000,125,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived average heart rate - PM10,120,unadjusted,0.005177,0.00728,"-0.009092, 0.01944",0.477,0.05177,"-0.09092, 0.1944",10000,125,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived average heart rate - PM2.5,1,adjusted,0.007305,0.006761,"-0.005946, 0.02056",0.280,0.07305,"-0.05946, 0.2056",10000,125,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived average heart rate - PM2.5,1,unadjusted,0.01985,0.007564,"0.005026, 0.03468",0.009,0.1985,"0.05026, 0.3468",10000,125,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived average heart rate - PM2.5,5,adjusted,0.008335,0.006702,"-0.004802, 0.02147",0.214,0.08335,"-0.04802, 0.2147",10000,125,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived average heart rate - PM2.5,5,unadjusted,0.02192,0.007509,"0.007197, 0.03663",0.004,0.2192,"0.07197, 0.3663",10000,125,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived average heart rate - PM2.5,10,adjusted,0.005913,0.006654,"-0.007129, 0.01895",0.374,0.05913,"-0.07129, 0.1895",10000,125,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived average heart rate - PM2.5,10,unadjusted,0.01638,0.007489,"0.001699, 0.03105",0.029,0.1638,"0.01699, 0.3105",10000,125,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived average heart rate - PM2.5,15,adjusted,0.0104,0.006717,"-0.002765, 0.02356",0.122,0.104,"-0.02765, 0.2356",10000,125,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived average heart rate - PM2.5,15,unadjusted,0.02203,0.007526,"0.007276, 0.03678",0.003,0.2203,"0.07276, 0.3678",10000,125,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived average heart rate - PM2.5,30,adjusted,0.007402,0.006733,"-0.005795, 0.0206",0.272,0.07402,"-0.05795, 0.206",10000,125,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived average heart rate - PM2.5,30,unadjusted,0.01406,0.00755,"-0.0007393, 0.02886",0.063,0.1406,"-0.007393, 0.2886",10000,125,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived average heart rate - PM2.5,45,adjusted,0.008594,0.00667,"-0.004478, 0.02167",0.198,0.08594,"-0.04478, 0.2167",10000,125,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived average heart rate - PM2.5,45,unadjusted,0.01803,0.007498,"0.003338, 0.03273",0.016,0.1803,"0.03338, 0.3273",10000,125,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived average heart rate - PM2.5,60,adjusted,0.00738,0.006782,"-0.005912, 0.02067",0.276,0.0738,"-0.05912, 0.2067",10000,125,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived average heart rate - PM2.5,60,unadjusted,0.01904,0.007545,"0.00425, 0.03383",0.012,0.1904,"0.0425, 0.3383",10000,125,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived average heart rate - PM2.5,120,adjusted,0.0002173,0.006757,"-0.01303, 0.01346",0.974,0.002173,"-0.1303, 0.1346",10000,125,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived average heart rate - PM2.5,120,unadjusted,0.006453,0.007578,"-0.008399, 0.02131",0.394,0.06453,"-0.08399, 0.2131",10000,125,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived stress index - PM1,1,adjusted,0.01061,0.01352,"-0.0159, 0.03711",0.433,0.1061,"-0.159, 0.3711",10000,120,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived stress index - PM1,1,unadjusted,0.01499,0.01504,"-0.0145, 0.04447",0.319,0.1499,"-0.145, 0.4447",10000,120,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived stress index - PM1,5,adjusted,0.006697,0.01341,"-0.01959, 0.03298",0.618,0.06697,"-0.1959, 0.3298",10000,120,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived stress index - PM1,5,unadjusted,0.01758,0.01492,"-0.01168, 0.04683",0.239,0.1758,"-0.1168, 0.4683",10000,120,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived stress index - PM1,10,adjusted,0.01771,0.01302,"-0.00782, 0.04323",0.174,0.1771,"-0.0782, 0.4323",10000,120,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived stress index - PM1,10,unadjusted,0.02626,0.01463,"-0.002417, 0.05494",0.073,0.2626,"-0.02417, 0.5494",10000,120,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived stress index - PM1,15,adjusted,0.009948,0.01322,"-0.01596, 0.03586",0.452,0.09948,"-0.1596, 0.3586",10000,120,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived stress index - PM1,15,unadjusted,0.01808,0.01456,"-0.01046, 0.04662",0.214,0.1808,"-0.1046, 0.4662",10000,120,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived stress index - PM1,30,adjusted,0.01434,0.01335,"-0.01182, 0.04051",0.283,0.1434,"-0.1182, 0.4051",10000,120,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived stress index - PM1,30,unadjusted,0.01797,0.01464,"-0.01073, 0.04667",0.220,0.1797,"-0.1073, 0.4667",10000,120,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived stress index - PM1,45,adjusted,0.01207,0.0135,"-0.01439, 0.03852",0.371,0.1207,"-0.1439, 0.3852",10000,120,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived stress index - PM1,45,unadjusted,0.02096,0.01473,"-0.007922, 0.04983",0.155,0.2096,"-0.07922, 0.4983",10000,120,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived stress index - PM1,60,adjusted,0.01181,0.01319,"-0.01404, 0.03767",0.371,0.1181,"-0.1404, 0.3767",10000,120,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived stress index - PM1,60,unadjusted,0.008448,0.01469,"-0.02034, 0.03723",0.565,0.08448,"-0.2034, 0.3723",10000,120,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived stress index - PM1,120,adjusted,-0.007106,0.01317,"-0.03291, 0.0187",0.589,-0.07106,"-0.3291, 0.187",10000,120,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived stress index - PM1,120,unadjusted,0.006196,0.01451,"-0.02225, 0.03464",0.669,0.06196,"-0.2225, 0.3464",10000,120,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived stress index - PM10,1,adjusted,-0.01007,0.009968,"-0.0296, 0.009469",0.312,-0.1007,"-0.296, 0.09469",10000,120,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived stress index - PM10,1,unadjusted,0.01335,0.01074,"-0.007702, 0.0344",0.214,0.1335,"-0.07702, 0.344",10000,120,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived stress index - PM10,5,adjusted,-0.01468,0.009902,"-0.03408, 0.004733",0.138,-0.1468,"-0.3408, 0.04733",10000,120,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived stress index - PM10,5,unadjusted,0.009577,0.01066,"-0.01132, 0.03047",0.369,0.09577,"-0.1132, 0.3047",10000,120,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived stress index - PM10,10,adjusted,-0.009319,0.009813,"-0.02855, 0.009915",0.342,-0.09319,"-0.2855, 0.09915",10000,120,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived stress index - PM10,10,unadjusted,0.01422,0.01057,"-0.006501, 0.03494",0.179,0.1422,"-0.06501, 0.3494",10000,120,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived stress index - PM10,15,adjusted,-0.01404,0.009897,"-0.03344, 0.005359",0.156,-0.1404,"-0.3344, 0.05359",10000,120,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived stress index - PM10,15,unadjusted,0.008987,0.01063,"-0.01184, 0.02981",0.398,0.08987,"-0.1184, 0.2981",10000,120,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived stress index - PM10,30,adjusted,-0.01189,0.009827,"-0.03115, 0.007367",0.226,-0.1189,"-0.3115, 0.07367",10000,120,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived stress index - PM10,30,unadjusted,0.006769,0.01075,"-0.0143, 0.02784",0.529,0.06769,"-0.143, 0.2784",10000,120,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived stress index - PM10,45,adjusted,-0.005207,0.009735,"-0.02429, 0.01387",0.593,-0.05207,"-0.2429, 0.1387",10000,120,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived stress index - PM10,45,unadjusted,0.0163,0.01058,"-0.004447, 0.03704",0.124,0.163,"-0.04447, 0.3704",10000,120,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived stress index - PM10,60,adjusted,-0.003869,0.009817,"-0.02311, 0.01537",0.693,-0.03869,"-0.2311, 0.1537",10000,120,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived stress index - PM10,60,unadjusted,0.01711,0.01065,"-0.003771, 0.03799",0.108,0.1711,"-0.03771, 0.3799",10000,120,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived stress index - PM10,120,adjusted,-0.0123,0.009906,"-0.03172, 0.007115",0.214,-0.123,"-0.3172, 0.07115",10000,120,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived stress index - PM10,120,unadjusted,0.007979,0.01075,"-0.01309, 0.02905",0.458,0.07979,"-0.1309, 0.2905",10000,120,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived stress index - PM2.5,1,adjusted,-0.002335,0.01034,"-0.02261, 0.01794",0.821,-0.02335,"-0.2261, 0.1794",10000,120,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived stress index - PM2.5,1,unadjusted,0.01992,0.01123,"-0.002079, 0.04193",0.076,0.1992,"-0.02079, 0.4193",10000,120,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived stress index - PM2.5,5,adjusted,-0.003231,0.01024,"-0.0233, 0.01684",0.752,-0.03231,"-0.233, 0.1684",10000,120,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
Garmin-derived stress index - PM2.5,5,unadjusted,0.02094,0.01113,"-0.0008748, 0.04276",0.060,0.2094,"-0.008748, 0.4276",10000,120,yes,PASS,Garmin-derived field-indicator model; unstandardized PM scale.
