analysis_stream,city,variable,sensor,source_device,unit,paired_n_target,paired_n_observed,summer_participant_mean,winter_participant_mean,winter_minus_summer_mean,winter_minus_summer_median,percent_difference_mean,wilcoxon_statistic,wilcoxon_p_value,wilcoxon_p_value_display,paired_t_statistic,paired_t_p_value,effect_direction,target_match_status,status,notes
uHoo residential IAQ analysis,Milan,temperature,uHoo,uHoo static residential indoor air-quality monitor,degC,25,25,28.200115938133703,21.058332436257004,-7.1417835018766995,-6.895808462101559,,0.0,5.960464477539063e-08,p < 0.001,-18.050538764817194,1.8108935449633388e-15,winter_lower,PASS,PASS,stream_paired_support_n=25 variable_nonmissing_paired_n=25 Percent difference not reported for Celsius temperature. Residential uHoo IAQ values are indicative field measurements.
uHoo residential IAQ analysis,Milan,relative_humidity,uHoo,uHoo static residential indoor air-quality monitor,percent,25,25,48.094745674834904,39.701988486539456,-8.392757188295445,-8.964267563743135,-17.450465888806796,29.0,0.000102996826171875,p < 0.001,-5.25111291360125,2.2032545346021283e-05,winter_lower,PASS,PASS,stream_paired_support_n=25 variable_nonmissing_paired_n=25 Residential uHoo IAQ values are indicative field measurements.
uHoo residential IAQ analysis,Milan,uHoo_PM2.5,uHoo,uHoo static residential indoor air-quality monitor,ug/m3,25,25,23.23143321756197,20.093969338715308,-3.1374638788466664,-1.8951387078505952,-13.50525320355558,135.0,0.4741646647453308,p = 0.474,-0.9585954119224511,0.3473206490910209,winter_lower,PASS,PASS,stream_paired_support_n=25 variable_nonmissing_paired_n=25 Residential uHoo IAQ values are indicative field measurements.
uHoo residential IAQ analysis,Milan,TVOC,uHoo,uHoo static residential indoor air-quality monitor,ppb,25,25,160.93435937529645,174.40166027955777,13.467300904261322,20.956560452838445,8.368194931484943,126.0,0.33878785371780396,p = 0.339,0.47285791109972947,0.6405866995972058,winter_higher,PASS,PASS,stream_paired_support_n=25 variable_nonmissing_paired_n=25 Residential uHoo IAQ values are indicative field measurements.
uHoo residential IAQ analysis,Milan,CO2,uHoo,uHoo static residential indoor air-quality monitor,ppm,25,25,627.6930370090254,971.0003274839074,343.30729047488205,316.940766046706,54.6934998850315,22.0,3.1948089599609375e-05,p < 0.001,4.973102876330069,4.4501469435065527e-05,winter_higher,PASS,PASS,stream_paired_support_n=25 variable_nonmissing_paired_n=25 Residential uHoo IAQ values are indicative field measurements.
uHoo residential IAQ analysis,Milan,CO,uHoo,uHoo static residential indoor air-quality monitor,ppm,25,25,0.0013722620161158645,0.0758651595365353,0.07449289752041942,0.0005075293082868838,5428.4747843760015,14.0,0.0006806104529480628,p < 0.001,1.543454509355085,0.13580487917820377,winter_higher,PASS,PASS,stream_paired_support_n=25 variable_nonmissing_paired_n=25 Residential uHoo IAQ values are indicative field measurements.
uHoo residential IAQ analysis,Milan,O3,uHoo,uHoo static residential indoor air-quality monitor,ppb,25,25,10.609222005675525,11.133973597086795,0.5247515914112683,-0.8015257765537935,4.946183529108435,149.0,0.7309892177581787,p = 0.731,0.43627471292065484,0.6665369254357005,winter_higher,PASS,PASS,stream_paired_support_n=25 variable_nonmissing_paired_n=25 Residential uHoo IAQ values are indicative field measurements.
uHoo residential IAQ analysis,Milan,NO2,uHoo,uHoo static residential indoor air-quality monitor,ppb,25,25,29.56133579140523,42.975598020363485,13.414262228958258,4.98430008330437,45.377726918748934,135.0,0.4741646647453308,p = 0.474,1.2048820021052633,0.23999593803552652,winter_higher,PASS,PASS,stream_paired_support_n=25 variable_nonmissing_paired_n=25 Residential uHoo IAQ values are indicative field measurements.
uHoo residential IAQ analysis,Thessaloniki,temperature,uHoo,uHoo static residential indoor air-quality monitor,degC,16,16,27.687657615978722,20.66655185356006,-7.021105762418662,-7.34879409771378,,1.0,6.103515625e-05,p < 0.001,-8.97886180342082,2.0213459907418482e-07,winter_lower,PASS,PASS,stream_paired_support_n=16 variable_nonmissing_paired_n=16 Percent difference not reported for Celsius temperature. Residential uHoo IAQ values are indicative field measurements.
uHoo residential IAQ analysis,Thessaloniki,relative_humidity,uHoo,uHoo static residential indoor air-quality monitor,percent,16,16,49.06656808286823,44.846208110796226,-4.220359972072002,-1.648426576085658,-8.601294398549054,50.0,0.375457763671875,p = 0.375,-1.4601952426283686,0.16486354605556575,winter_lower,PASS,PASS,stream_paired_support_n=16 variable_nonmissing_paired_n=16 Residential uHoo IAQ values are indicative field measurements.
uHoo residential IAQ analysis,Thessaloniki,uHoo_PM2.5,uHoo,uHoo static residential indoor air-quality monitor,ug/m3,16,16,13.991556011470955,21.79523547620179,7.803679464730837,7.263498382751485,55.77420737431205,46.0,0.274444580078125,p = 0.274,1.362528900113473,0.1931395556477445,winter_higher,PASS,PASS,stream_paired_support_n=16 variable_nonmissing_paired_n=16 Residential uHoo IAQ values are indicative field measurements.
uHoo residential IAQ analysis,Thessaloniki,TVOC,uHoo,uHoo static residential indoor air-quality monitor,ppb,16,16,200.92108325782016,263.221358869384,62.3002756115639,-28.394667948079956,31.00733611495648,66.0,0.93988037109375,p = 0.940,0.5398346279967005,0.5972348268816714,winter_higher,PASS,PASS,stream_paired_support_n=16 variable_nonmissing_paired_n=16 Residential uHoo IAQ values are indicative field measurements.
uHoo residential IAQ analysis,Thessaloniki,CO2,uHoo,uHoo static residential indoor air-quality monitor,ppm,16,16,640.1404571904852,1185.1886491727405,545.0481919822553,417.38874647214743,85.14509368372362,4.0,0.000213623046875,p < 0.001,4.47964964338416,0.0004408283247316183,winter_higher,PASS,PASS,stream_paired_support_n=16 variable_nonmissing_paired_n=16 Residential uHoo IAQ values are indicative field measurements.
uHoo residential IAQ analysis,Thessaloniki,CO,uHoo,uHoo static residential indoor air-quality monitor,ppm,16,16,2.2634363894090894e-06,0.001352610531884716,0.0013503470954953068,0.0004002767283528576,59659.15816383243,0.0,0.007685794055213263,p = 0.008,2.4773211338440833,0.02562647458991824,winter_higher,PASS,PASS,stream_paired_support_n=16 variable_nonmissing_paired_n=16 Residential uHoo IAQ values are indicative field measurements.
uHoo residential IAQ analysis,Thessaloniki,O3,uHoo,uHoo static residential indoor air-quality monitor,ppb,16,16,7.713943123948763,9.221155578982216,1.5072124550334518,1.5300392687779878,19.538806947566815,27.0,0.033538818359375,p = 0.034,2.2143395525629073,0.042709476962547364,winter_higher,PASS,PASS,stream_paired_support_n=16 variable_nonmissing_paired_n=16 Residential uHoo IAQ values are indicative field measurements.
uHoo residential IAQ analysis,Thessaloniki,NO2,uHoo,uHoo static residential indoor air-quality monitor,ppb,16,16,3.352328705388806,21.517988851124457,18.16566014573565,12.138181199239668,541.8818302791934,12.0,0.00213623046875,p = 0.002,3.720127695795776,0.0020527114091809656,winter_higher,PASS,PASS,stream_paired_support_n=16 variable_nonmissing_paired_n=16 Residential uHoo IAQ values are indicative field measurements.
