analysis_stream,ppm_support_definition,city,variable,sensor,source_device,unit,paired_n_target,paired_n_observed,summer_participant_mean,winter_participant_mean,winter_minus_summer_mean,winter_minus_summer_median,percent_difference_mean,wilcoxon_statistic,wilcoxon_p_value,wilcoxon_p_value_display,paired_t_statistic,paired_t_p_value,effect_direction,target_match_status,status,notes
PPM personal PM analysis,any_ppm_fraction,Milan,PM1,ICARUS PPM,ICARUS PPM personal portable particulate monitor,ug/m3,32,32,17.83549903524301,26.904628981540416,9.069129946297407,9.718975216268587,50.84875914252117,86.0,0.0005131973884999752,p < 0.001,3.896331968990045,0.0004868866713441208,winter_higher,PASS,PASS,stream_paired_support_n=32 variable_nonmissing_paired_n=32
PPM personal PM analysis,any_ppm_fraction,Milan,PM2.5,ICARUS PPM,ICARUS PPM personal portable particulate monitor,ug/m3,32,32,24.247385279785693,36.85904718036451,12.611661900578817,11.53706482297829,52.012461364618886,84.0,0.00043344777077436447,p < 0.001,4.134216308073046,0.0002512126318966584,winter_higher,PASS,PASS,stream_paired_support_n=32 variable_nonmissing_paired_n=32
PPM personal PM analysis,any_ppm_fraction,Milan,PM10,ICARUS PPM,ICARUS PPM personal portable particulate monitor,ug/m3,32,32,25.075243826653136,39.21072323350673,14.135479406853587,14.047936744384167,56.372251071906305,68.0,9.998539462685585e-05,p < 0.001,4.634132244257246,6.112648382635754e-05,winter_higher,PASS,PASS,stream_paired_support_n=32 variable_nonmissing_paired_n=32
PPM personal PM analysis,any_ppm_fraction,Thessaloniki,PM1,ICARUS PPM,ICARUS PPM personal portable particulate monitor,ug/m3,34,34,16.278696768970086,24.366249686936428,8.08755291796635,8.848421326755865,49.68182055815775,78.0,6.773427594453096e-05,p < 0.001,2.899371667920501,0.0066021508838376205,winter_higher,PASS,PASS,stream_paired_support_n=34 variable_nonmissing_paired_n=34
PPM personal PM analysis,any_ppm_fraction,Thessaloniki,PM2.5,ICARUS PPM,ICARUS PPM personal portable particulate monitor,ug/m3,34,34,21.52007005589465,33.9558843554192,12.435814299524553,15.197181841107728,57.78705304966332,87.0,0.0001502245431765914,p < 0.001,3.6172789447427784,0.0009826028925812359,winter_higher,PASS,PASS,stream_paired_support_n=34 variable_nonmissing_paired_n=34
PPM personal PM analysis,any_ppm_fraction,Thessaloniki,PM10,ICARUS PPM,ICARUS PPM personal portable particulate monitor,ug/m3,34,34,24.960368509020103,35.736739828192306,10.776371319172194,12.582523940708334,43.17392716088254,118.0,0.001570128952153027,p = 0.002,2.8838133489955093,0.006867165818082237,winter_higher,PASS,PASS,stream_paired_support_n=34 variable_nonmissing_paired_n=34
PPM personal PM common-support analysis,common_support_ordered_triplet,Milan,PM1,ICARUS PPM,ICARUS PPM personal portable particulate monitor,ug/m3,32,32,17.453823690166104,25.376466346592352,7.922642656426247,10.00663984631157,45.392017228236654,87.0,0.0005578021518886089,p < 0.001,3.9346454296635365,0.0004379301813327161,winter_higher,PASS,PASS,stream_paired_support_n=32 variable_nonmissing_paired_n=32
PPM personal PM common-support analysis,common_support_ordered_triplet,Milan,PM2.5,ICARUS PPM,ICARUS PPM personal portable particulate monitor,ug/m3,32,32,23.727528351166658,36.66809235065822,12.940563999491559,11.709223309249637,54.53818791393537,73.0,0.00016188295558094978,p < 0.001,4.483497918130175,9.381422196596975e-05,winter_higher,PASS,PASS,stream_paired_support_n=32 variable_nonmissing_paired_n=32
PPM personal PM common-support analysis,common_support_ordered_triplet,Milan,PM10,ICARUS PPM,ICARUS PPM personal portable particulate monitor,ug/m3,32,32,26.0512008881516,41.75306769247307,15.701866804321469,17.55300425801454,60.27310169591016,57.0,3.175297752022743e-05,p < 0.001,4.8788615818974845,3.0385133512854125e-05,winter_higher,PASS,PASS,stream_paired_support_n=32 variable_nonmissing_paired_n=32
PPM personal PM common-support analysis,common_support_ordered_triplet,Thessaloniki,PM1,ICARUS PPM,ICARUS PPM personal portable particulate monitor,ug/m3,34,34,15.343198748127353,22.987443877440363,7.644245129313011,9.657942170330095,49.821717458010475,81.0,8.89236107468605e-05,p < 0.001,2.755818458358878,0.009458304718770206,winter_higher,PASS,PASS,stream_paired_support_n=34 variable_nonmissing_paired_n=34
PPM personal PM common-support analysis,common_support_ordered_triplet,Thessaloniki,PM2.5,ICARUS PPM,ICARUS PPM personal portable particulate monitor,ug/m3,34,34,20.923927815435732,33.616440183546615,12.692512368110883,15.037436660196029,60.66027602498,84.0,0.00011595466639846563,p < 0.001,3.6834556784734476,0.0008182620544983688,winter_higher,PASS,PASS,stream_paired_support_n=34 variable_nonmissing_paired_n=34
PPM personal PM common-support analysis,common_support_ordered_triplet,Thessaloniki,PM10,ICARUS PPM,ICARUS PPM personal portable particulate monitor,ug/m3,34,34,26.551947016681684,37.09495434703405,10.543007330352369,13.547641919569555,39.70709689850071,128.0,0.002999473363161087,p = 0.003,2.72803896137807,0.010129935865183898,winter_higher,PASS,PASS,stream_paired_support_n=34 variable_nonmissing_paired_n=34
