analysis_stream,city,variable,sensor,source_device,unit,paired_n_target,paired_n_observed,summer_participant_mean,winter_participant_mean,winter_minus_summer_mean,winter_minus_summer_median,percent_difference_mean,wilcoxon_statistic,wilcoxon_p_value,wilcoxon_p_value_display,paired_t_statistic,paired_t_p_value,effect_direction,sleep_efficiency_available,wearable_field_indicator_flag,target_match_status,status,notes
Garmin sleep data availability,Milan,total_sleep,Garmin,Garmin wearable field indicator,minutes,26,26,395.7957875457875,417.40521978021974,21.609432234432234,-0.785714285714306,5.4597428558868515,140.0,0.380193829536438,p = 0.380,1.398027737273354,0.17438631173470545,winter_higher,False,wearable-derived field indicator; not clinical or polysomnography-equivalent,PASS,PASS,stream_paired_support_n=26 variable_nonmissing_paired_n=26 wearable-derived field indicator; not clinical or polysomnography-equivalent
Garmin sleep data availability,Milan,light_sleep_fraction,Garmin,Garmin wearable field indicator,fraction,26,26,0.6217823024239304,0.6098865459834573,-0.01189575644047323,-0.022026142151710282,-1.9131706377134268,141.0,0.3940727114677429,p = 0.394,-0.5969742530760259,0.5558930031004945,winter_lower,False,wearable-derived field indicator; not clinical or polysomnography-equivalent,PASS,PASS,stream_paired_support_n=26 variable_nonmissing_paired_n=26 wearable-derived field indicator; not clinical or polysomnography-equivalent
Garmin sleep data availability,Milan,deep_sleep_fraction,Garmin,Garmin wearable field indicator,fraction,26,26,0.26300845983010557,0.2938490863962722,0.030840626566166592,0.05237908956511991,11.726096790228208,104.0,0.07092106342315674,p = 0.071,1.2929449782924087,0.2078515141713522,winter_higher,False,wearable-derived field indicator; not clinical or polysomnography-equivalent,PASS,PASS,stream_paired_support_n=26 variable_nonmissing_paired_n=26 wearable-derived field indicator; not clinical or polysomnography-equivalent
Garmin sleep data availability,Milan,rem_sleep_fraction,Garmin,Garmin wearable field indicator,fraction,26,26,0.11520923774596394,0.09626436762027057,-0.018944870125693368,-0.024823587691202312,-16.443881147331908,98.0,0.049346864223480225,p = 0.049,-1.572008009858461,0.12852037607938316,winter_lower,False,wearable-derived field indicator; not clinical or polysomnography-equivalent,PASS,PASS,stream_paired_support_n=26 variable_nonmissing_paired_n=26 wearable-derived field indicator; not clinical or polysomnography-equivalent
Garmin sleep data availability,Thessaloniki,total_sleep,Garmin,Garmin wearable field indicator,minutes,20,20,414.3484613997114,419.4070238095237,5.05856240981241,16.55000000000001,1.220847398038825,87.0,0.5216732025146484,p = 0.522,0.29674101596197894,0.7698837737359315,winter_higher,False,wearable-derived field indicator; not clinical or polysomnography-equivalent,PASS,PASS,stream_paired_support_n=20 variable_nonmissing_paired_n=20 wearable-derived field indicator; not clinical or polysomnography-equivalent
Garmin sleep data availability,Thessaloniki,light_sleep_fraction,Garmin,Garmin wearable field indicator,fraction,20,20,0.6159986167174405,0.582222499857177,-0.03377611686026352,-0.05606907318519555,-5.483148166833733,48.0,0.03276824951171875,p = 0.033,-1.068118638983826,0.29885071323113227,winter_lower,False,wearable-derived field indicator; not clinical or polysomnography-equivalent,PASS,PASS,stream_paired_support_n=20 variable_nonmissing_paired_n=20 wearable-derived field indicator; not clinical or polysomnography-equivalent
Garmin sleep data availability,Thessaloniki,deep_sleep_fraction,Garmin,Garmin wearable field indicator,fraction,20,20,0.2024610733574798,0.34144262185521346,0.1389815484977337,0.17341063375847762,68.64605931054108,35.0,0.0072956085205078125,p = 0.007,3.4250648744745007,0.0028388003257371233,winter_higher,False,wearable-derived field indicator; not clinical or polysomnography-equivalent,PASS,PASS,stream_paired_support_n=20 variable_nonmissing_paired_n=20 wearable-derived field indicator; not clinical or polysomnography-equivalent
Garmin sleep data availability,Thessaloniki,rem_sleep_fraction,Garmin,Garmin wearable field indicator,fraction,20,20,0.18154030992507977,0.07633487828760961,-0.10520543163747018,-0.10484506127834578,-57.95155449546583,5.0,0.00029256438440193296,p < 0.001,-5.370190786483797,3.501174732301537e-05,winter_lower,False,wearable-derived field indicator; not clinical or polysomnography-equivalent,PASS,PASS,stream_paired_support_n=20 variable_nonmissing_paired_n=20 wearable-derived field indicator; not clinical or polysomnography-equivalent
Garmin sleep + residential IAQ complete-case model input,Milan,total_sleep,Garmin,Garmin wearable field indicator,minutes,6,6,445.0065476190477,416.72619047619054,-28.280357142857138,-33.276785714285694,-6.35504293007995,5.0,0.3125,p = 0.312,-0.9321809805431225,0.39403170370075596,winter_lower,False,wearable-derived field indicator; not clinical or polysomnography-equivalent,PASS,PASS,stream_paired_support_n=6 variable_nonmissing_paired_n=6 wearable-derived field indicator; not clinical or polysomnography-equivalent Sleep plus residential IAQ complete-case paired subset.
Garmin sleep + residential IAQ complete-case model input,Milan,light_sleep_fraction,Garmin,Garmin wearable field indicator,fraction,6,6,0.6770362758909861,0.6388727502252031,-0.03816352566578312,-0.059274493882445295,-5.636850937648727,6.0,0.4375,p = 0.438,-0.7669587342987477,0.47773749888741895,winter_lower,False,wearable-derived field indicator; not clinical or polysomnography-equivalent,PASS,PASS,stream_paired_support_n=6 variable_nonmissing_paired_n=6 wearable-derived field indicator; not clinical or polysomnography-equivalent Sleep plus residential IAQ complete-case paired subset.
Garmin sleep + residential IAQ complete-case model input,Milan,deep_sleep_fraction,Garmin,Garmin wearable field indicator,fraction,6,6,0.22503197754977822,0.23284231785461418,0.007810340304835958,0.003267628446734394,3.47076908352204,9.0,0.84375,p = 0.844,0.32524397244877434,0.758165273546149,winter_higher,False,wearable-derived field indicator; not clinical or polysomnography-equivalent,PASS,PASS,stream_paired_support_n=6 variable_nonmissing_paired_n=6 wearable-derived field indicator; not clinical or polysomnography-equivalent Sleep plus residential IAQ complete-case paired subset.
