variable_x,variable_y,source_x,source_y,correlation_method,r,p_value,n_rows,n_participants,city,season,wearable_field_indicator_flag,status,notes
Temp_uHoo,SleepTotal,residential uHoo IAQ,Garmin-derived wearable sleep indicator,Pearson,-0.09730740127122231,0.06628645787701776,357,50,All,All,wearable-derived field indicator; not clinical or polysomnography-equivalent,PASS,Aggregate pairwise complete correlation; participant-night rows not exported.
Temp_uHoo,SleepLight,residential uHoo IAQ,Garmin-derived wearable sleep indicator,Pearson,-0.020424219609936275,0.7005404629862834,357,50,All,All,wearable-derived field indicator; not clinical or polysomnography-equivalent,PASS,Aggregate pairwise complete correlation; participant-night rows not exported.
Temp_uHoo,SleepDeep,residential uHoo IAQ,Garmin-derived wearable sleep indicator,Pearson,-0.04233255655037073,0.4252173077050027,357,50,All,All,wearable-derived field indicator; not clinical or polysomnography-equivalent,PASS,Aggregate pairwise complete correlation; participant-night rows not exported.
Temp_uHoo,SleepREM,residential uHoo IAQ,Garmin-derived wearable sleep indicator,Pearson,0.08577290955206036,0.10567754496508908,357,50,All,All,wearable-derived field indicator; not clinical or polysomnography-equivalent,PASS,Aggregate pairwise complete correlation; participant-night rows not exported.
Humi_uHoo,SleepTotal,residential uHoo IAQ,Garmin-derived wearable sleep indicator,Pearson,0.0424801559498719,0.42360345508924935,357,50,All,All,wearable-derived field indicator; not clinical or polysomnography-equivalent,PASS,Aggregate pairwise complete correlation; participant-night rows not exported.
Humi_uHoo,SleepLight,residential uHoo IAQ,Garmin-derived wearable sleep indicator,Pearson,0.0643247858335175,0.2253690400354118,357,50,All,All,wearable-derived field indicator; not clinical or polysomnography-equivalent,PASS,Aggregate pairwise complete correlation; participant-night rows not exported.
Humi_uHoo,SleepDeep,residential uHoo IAQ,Garmin-derived wearable sleep indicator,Pearson,-0.13798311504290403,0.009041818202906128,357,50,All,All,wearable-derived field indicator; not clinical or polysomnography-equivalent,PASS,Aggregate pairwise complete correlation; participant-night rows not exported.
Humi_uHoo,SleepREM,residential uHoo IAQ,Garmin-derived wearable sleep indicator,Pearson,0.13549767148401284,0.010377059526787533,357,50,All,All,wearable-derived field indicator; not clinical or polysomnography-equivalent,PASS,Aggregate pairwise complete correlation; participant-night rows not exported.
PM25_uHoo,SleepTotal,residential uHoo IAQ,Garmin-derived wearable sleep indicator,Pearson,-0.13174777065081844,0.012109120935916233,362,51,All,All,wearable-derived field indicator; not clinical or polysomnography-equivalent,PASS,Aggregate pairwise complete correlation; participant-night rows not exported.
PM25_uHoo,SleepLight,residential uHoo IAQ,Garmin-derived wearable sleep indicator,Pearson,-0.08990672830494462,0.08761096115589727,362,51,All,All,wearable-derived field indicator; not clinical or polysomnography-equivalent,PASS,Aggregate pairwise complete correlation; participant-night rows not exported.
PM25_uHoo,SleepDeep,residential uHoo IAQ,Garmin-derived wearable sleep indicator,Pearson,0.11759602830650091,0.025257114464734522,362,51,All,All,wearable-derived field indicator; not clinical or polysomnography-equivalent,PASS,Aggregate pairwise complete correlation; participant-night rows not exported.
PM25_uHoo,SleepREM,residential uHoo IAQ,Garmin-derived wearable sleep indicator,Pearson,-0.0774018551654505,0.14162048162224358,362,51,All,All,wearable-derived field indicator; not clinical or polysomnography-equivalent,PASS,Aggregate pairwise complete correlation; participant-night rows not exported.
TVOC_uHoo,SleepTotal,residential uHoo IAQ,Garmin-derived wearable sleep indicator,Pearson,0.0015277292223776426,0.9768912939377843,362,51,All,All,wearable-derived field indicator; not clinical or polysomnography-equivalent,PASS,Aggregate pairwise complete correlation; participant-night rows not exported.
