variable,sensor,source_device,interpretation,unit,city,season,participant_season_records,unique_participants,participant_days,mean,median,sd,min,max,p25,p75,p95,status,notes
Average Heart Rate,Garmin,Garmin wearable-derived field indicator,wearable-derived field indicator,bpm,Milan,Summer,55,55,539,79.45253503549603,79.27416666666667,10.950179101471514,54.77548611111111,114.41513888888888,71.77919484178588,85.97725694444443,97.78245188492058,PASS,Campaign-window participant-day aggregate; variable-specific nonmissing denominator; no participant-level rows exported.
Average Heart Rate,Garmin,Garmin wearable-derived field indicator,wearable-derived field indicator,bpm,Milan,Winter,58,58,733,77.92824883299217,78.45034722222222,9.046903937955461,52.782361111111115,110.98930741190765,72.2769212962963,84.58763131313131,91.00344721019722,PASS,Campaign-window participant-day aggregate; variable-specific nonmissing denominator; no participant-level rows exported.
Average Heart Rate,Garmin,Garmin wearable-derived field indicator,wearable-derived field indicator,bpm,Thessaloniki,Summer,58,58,826,81.25261289626631,80.83214285714286,10.334632315462608,52.89824786324786,122.90541666666665,74.40671875,87.38355034722223,99.03479166666666,PASS,Campaign-window participant-day aggregate; variable-specific nonmissing denominator; no participant-level rows exported.
Average Heart Rate,Garmin,Garmin wearable-derived field indicator,wearable-derived field indicator,bpm,Thessaloniki,Winter,40,40,382,80.14650305227205,80.16615158529741,10.954786478743557,56.10098290598291,123.43030555555556,73.46761752136752,85.57821180555555,96.12234722222223,PASS,Campaign-window participant-day aggregate; variable-specific nonmissing denominator; no participant-level rows exported.
Average Heart Rate,Garmin,Garmin wearable-derived field indicator,wearable-derived field indicator,bpm,Overall,Overall,211,150,2480,79.70844564395142,79.61024305555556,10.29337697670586,52.782361111111115,123.43030555555556,73.09218171296297,86.11338541666666,96.16069305555556,PASS,Campaign-window participant-day aggregate; variable-specific nonmissing denominator; no participant-level rows exported.
Stress Level,Garmin,Garmin wearable-derived field indicator,wearable-derived field indicator,unitless index,Milan,Summer,52,52,514,32.93347498095703,31.192125010543187,15.850103443562908,1.5918055555555555,88.55435427912731,22.149527389688163,41.77211841226664,60.36142034796582,PASS,Campaign-window participant-day aggregate; variable-specific nonmissing denominator; no participant-level rows exported.
Stress Level,Garmin,Garmin wearable-derived field indicator,wearable-derived field indicator,unitless index,Milan,Winter,58,58,740,30.38303371440553,27.544633976768843,13.078777565789608,2.417861482381531,89.62569444444445,23.191388888888888,35.443296363655534,55.767127179161115,PASS,Campaign-window participant-day aggregate; variable-specific nonmissing denominator; no participant-level rows exported.
Stress Level,Garmin,Garmin wearable-derived field indicator,wearable-derived field indicator,unitless index,Thessaloniki,Summer,55,55,773,40.134462387940275,35.76791666666667,20.407611358039862,3.2105555555555556,89.40111111111112,23.9366541005291,51.29555166361416,82.0,PASS,Campaign-window participant-day aggregate; variable-specific nonmissing denominator; no participant-level rows exported.
Stress Level,Garmin,Garmin wearable-derived field indicator,wearable-derived field indicator,unitless index,Thessaloniki,Winter,38,38,357,32.962656335029706,30.622007226600154,14.261121917412733,5.533571428571429,86.62933333333332,22.48269742063492,40.86026315789474,57.45850453296703,PASS,Campaign-window participant-day aggregate; variable-specific nonmissing denominator; no participant-level rows exported.
Stress Level,Garmin,Garmin wearable-derived field indicator,wearable-derived field indicator,unitless index,Overall,Overall,203,147,2384,34.48106494394105,30.619885123718205,16.996381496729146,1.5918055555555555,89.62569444444445,23.114726409874848,42.29456134771775,72.55386382402318,PASS,Campaign-window participant-day aggregate; variable-specific nonmissing denominator; no participant-level rows exported.
PM1,ICARUS PPM,ICARUS PPM personal PM,personal PM exposure,ug/m3,Milan,Summer,54,54,526,17.559653114936935,14.92875496031746,10.203001461412697,1.3096944444444445,62.398381944444445,10.197211371527777,22.95027450722503,38.23433701223545,PASS,Campaign-window participant-day aggregate; variable-specific nonmissing denominator; no participant-level rows exported.
PM1,ICARUS PPM,ICARUS PPM personal PM,personal PM exposure,ug/m3,Milan,Winter,45,45,576,25.580818180144995,23.79047156225518,14.386132400642849,1.4783054003724396,88.72591435185186,13.378760297521787,34.58951388888889,53.29427960078014,PASS,Campaign-window participant-day aggregate; variable-specific nonmissing denominator; no participant-level rows exported.
